 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Slice
503,0.540,1.279,0.089,1.172,1.172,1.488,47.359,40.948,47.354,40.946,2.780,1
504,0.540,1.288,0.088,1.189,1.175,1.480,11.952,41.043,11.953,41.043,2.614,1
505,0.790,1.299,0.087,1.188,1.171,1.492,40.092,41.387,40.089,41.387,3.263,1
506,0.630,1.301,0.104,1.176,1.175,1.529,6.715,41.433,6.713,41.436,2.921,1
507,0.440,1.282,0.079,1.195,1.173,1.449,45.595,41.273,45.599,41.272,2.414,1
508,0.490,1.252,0.069,1.171,1.169,1.404,1.409,41.517,1.411,41.524,2.756,1
509,0.890,1.507,0.274,1.217,1.177,2.150,29.978,41.575,29.984,41.585,3.380,1
510,1.040,1.516,0.239,1.570,1.170,1.950,32.961,41.712,32.960,41.714,3.663,1
511,1.460,1.680,0.426,1.296,1.172,2.716,22.456,41.886,22.470,41.884,4.404,1
512,0.550,1.315,0.114,1.244,1.171,1.562,50.610,41.608,50.607,41.609,2.697,1
513,0.240,1.205,0.025,1.178,1.170,1.253,43.663,41.713,43.662,41.711,1.790,1
514,0.560,1.382,0.163,1.194,1.171,1.736,27.691,41.891,27.692,41.888,2.614,1
515,0.660,1.335,0.116,1.228,1.174,1.577,38.303,41.944,38.303,41.947,2.921,1
516,0.540,1.243,0.051,1.172,1.172,1.341,10.130,42.067,10.131,42.069,2.638,1
517,0.640,1.277,0.067,1.205,1.173,1.423,15.317,42.119,15.316,42.122,2.838,1
518,0.160,1.185,0.010,1.169,1.169,1.201,4.806,42.006,4.806,42.006,1.531,1
519,0.720,1.331,0.119,1.188,1.172,1.591,8.115,42.278,8.117,42.277,3.121,1
520,0.710,1.496,0.248,1.304,1.171,2.036,25.868,42.344,25.872,42.344,3.121,1
521,0.220,1.242,0.047,1.177,1.177,1.326,48.750,42.264,48.749,42.265,1.673,1
522,0.480,1.329,0.127,1.174,1.173,1.599,31.088,42.523,31.083,42.521,2.438,1
523,0.780,1.478,0.237,1.173,1.172,2.004,36.312,42.544,36.315,42.549,3.097,1
524,0.290,1.218,0.038,1.181,1.170,1.291,2.826,42.636,2.825,42.637,2.156,1
525,0.660,1.326,0.121,1.200,1.170,1.582,41.792,42.774,41.790,42.779,2.956,1
526,0.490,1.277,0.088,1.175,1.169,1.465,46.909,42.885,46.907,42.886,2.556,1
527,0.500,1.266,0.071,1.185,1.169,1.419,24.004,43.030,24.006,43.034,2.497,1
528,0.670,1.434,0.169,1.197,1.196,1.775,29.228,43.098,29.226,43.098,2.897,1
529,0.340,1.255,0.059,1.170,1.170,1.371,39.832,42.991,39.832,42.990,2.156,1
530,0.550,1.264,0.067,1.177,1.169,1.414,1.150,43.205,1.155,43.208,2.804,1
531,0.190,1.231,0.034,1.204,1.188,1.295,13.408,42.982,13.408,42.982,1.531,1
532,0.610,1.289,0.089,1.269,1.169,1.494,34.570,43.271,34.567,43.272,2.897,1
533,0.710,1.288,0.076,1.170,1.170,1.446,11.447,43.439,11.444,43.440,2.980,1
534,0.410,1.221,0.028,1.198,1.175,1.271,27.338,43.565,27.339,43.565,2.414,1
535,0.540,1.324,0.121,1.174,1.173,1.595,16.689,43.611,16.691,43.612,2.556,1
536,1.330,1.406,0.207,1.224,1.169,1.922,44.663,44.025,44.650,44.032,4.828,1
537,1.320,1.413,0.157,1.251,1.169,1.798,22.433,44.162,22.429,44.154,5.136,1
538,1.030,1.315,0.111,1.173,1.169,1.569,37.619,43.773,37.622,43.770,4.970,1
539,0.680,1.253,0.053,1.222,1.169,1.386,50.000,43.659,50.003,43.659,3.438,1
540,0.550,1.245,0.048,1.176,1.171,1.332,32.572,43.799,32.570,43.798,2.780,1
541,0.680,1.271,0.055,1.203,1.170,1.356,9.703,43.950,9.703,43.949,2.980,1
542,0.440,1.228,0.037,1.174,1.170,1.301,4.464,43.964,4.462,43.965,2.438,1
543,0.740,1.408,0.181,1.183,1.170,1.809,43.111,44.073,43.109,44.073,3.121,1
544,0.300,1.204,0.021,1.229,1.170,1.242,48.360,44.053,48.360,44.053,2.014,1
545,0.460,1.256,0.063,1.175,1.174,1.397,14.974,44.307,14.972,44.309,2.531,1
546,0.690,1.346,0.133,1.173,1.172,1.661,25.460,44.337,25.456,44.339,3.014,1
547,1.210,1.377,0.136,1.193,1.174,1.690,40.761,44.529,40.747,44.528,4.628,1
548,0.750,1.328,0.117,1.170,1.169,1.584,2.671,44.510,2.674,44.514,3.097,1
549,0.600,1.346,0.128,1.197,1.189,1.629,30.690,44.448,30.689,44.449,2.780,1
550,0.450,1.248,0.052,1.179,1.170,1.343,7.634,44.639,7.634,44.639,2.473,1
551,0.550,1.247,0.044,1.207,1.172,1.331,46.599,44.694,46.597,44.695,2.721,1
552,0.170,1.187,0.010,1.191,1.171,1.206,12.997,44.709,12.997,44.709,1.590,1
553,0.480,1.220,0.029,1.178,1.176,1.273,34.092,44.998,34.091,44.997,2.580,1
554,0.480,1.220,0.033,1.172,1.169,1.302,0.631,45.127,0.631,45.130,2.614,1
555,0.770,1.426,0.194,1.237,1.177,1.861,28.847,45.036,28.850,45.038,3.180,1
556,0.420,1.250,0.057,1.218,1.175,1.364,5.940,45.143,5.942,45.143,2.331,1
