 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Slice
24,0.410,1.267,0.079,1.170,1.170,1.441,43.096,2.313,43.094,2.316,2.297,1
25,0.180,1.189,0.011,1.169,1.169,1.205,4.628,2.333,4.628,2.333,1.614,1
26,0.670,1.234,0.046,1.197,1.169,1.364,15.475,2.625,15.478,2.627,4.028,1
27,0.350,1.238,0.041,1.200,1.177,1.312,10.019,2.513,10.020,2.512,2.331,1
28,0.470,1.280,0.098,1.182,1.174,1.516,48.699,2.639,48.709,2.641,2.897,1
29,0.280,1.263,0.064,1.232,1.176,1.390,20.321,2.739,20.320,2.739,1.873,1
30,0.520,1.293,0.096,1.185,1.169,1.501,35.931,2.944,35.928,2.948,2.638,1
31,0.480,1.286,0.084,1.200,1.172,1.466,2.656,2.988,2.655,2.989,2.438,1
32,0.550,1.271,0.066,1.356,1.169,1.386,7.906,2.930,7.906,2.929,2.756,1
33,0.730,1.430,0.228,1.200,1.169,2.000,41.232,3.064,41.224,3.063,3.063,1
34,0.290,1.221,0.033,1.225,1.169,1.283,13.343,3.133,13.344,3.133,1.897,1
35,0.490,1.243,0.050,1.235,1.169,1.340,18.577,3.179,18.575,3.181,2.497,1
36,0.570,1.231,0.037,1.170,1.170,1.293,0.818,3.399,0.820,3.400,2.838,1
37,0.880,1.328,0.106,1.375,1.176,1.530,16.689,3.534,16.691,3.530,3.687,1
38,0.400,1.220,0.037,1.174,1.169,1.289,23.790,3.288,23.791,3.289,2.238,1
39,0.250,1.183,0.012,1.204,1.169,1.204,28.974,3.222,28.974,3.222,1.956,1
40,0.610,1.261,0.069,1.184,1.170,1.413,21.732,3.647,21.732,3.642,2.980,1
41,0.720,1.339,0.128,1.182,1.179,1.618,39.451,3.588,39.458,3.587,3.121,1
42,0.430,1.256,0.065,1.192,1.171,1.399,34.252,3.583,34.251,3.585,2.438,1
43,0.530,1.304,0.112,1.170,1.169,1.549,44.578,3.597,44.575,3.600,2.638,1
